#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
017C2B,01689D	01856D,01689D
017C4D,0153E3	0185C9,0153E3
017C6E,01535C	01863F,018514
017C97,016734	017C97,016A38
017CCA,0153E3	01992C,0153E3
017CDF,01584C	017CDF,018E4B
017CDF,019054	018E67,018E82
017CDF,019062	017CDF,018E4B
017D08,017D5D	017D08,0188B4
017D14,016734	017D14,016A38
017D20,016734	017D20,016A38
017D21,01939A	017D21,019318
017D2F,017D2F	017E8D,017E8D
017DA2,015BC6	017A20,015BC6
017DE8,017BE1	017DE8,017E82
017DF2,01832B	016E3A,01832B
017E2B,017D1D	017E2B,017D09
017E82,014F4D	017BE1,014F4D
017F3A,01820C	019D03,01820C
017F54,017136	0160D8,017136
017F54,017F54	0160D8,0160D8
017F88,0162CC	017F88,017D46
017F9E,018D66	017F9E,018D67
018001,01677F	018001,0195C6
018001,019EBC	018001,014E48
018010,015FC3,017D30,017DFB	018010,015FC3,017D30,017DFB
018015,017372	018015,017A6B
01804A,015929	01804A,015929
018086,01696D	018084,01696D
01809D,019AD2	01809D,0181DF
0180A2,014F53	0180A2,019AD4
0180B4,0164B0	01991A,01994C
0180BA,019AD2	0180BA,0181DF
0180C3,019AD2	0180C3,0181DF
0180F0,019AD2	0180F0,0181DF
01813A,019AD2	01813A,0181DF
01813E,019AD2	01813E,0181DF
01814E,019AD2	01814E,0181DF
018151,019AD2	018151,0181DF
018173,017149	018173,01934A
018178,019AD2	018178,0181DF
0181BA,0154C1	018D17,0154C1
0181BD,016230	0181BD,01986B
018204,016E56	016F5F,016E56
01821E,015A18	01821E,015B43
01821F,0163D6	01821F,01696B
018236,018239	016CCA,018239
018239,016F3F	018239,0169F3
018239,017E96	018239,017E34
018239,0184EC	018239,017BF7
0182F1,015C3A	0182F1,01544E
018305,018606	018305,015EEC
018336,016BD2	01837C,016BD2
018349,015E2D	018349,0184C6
018349,017BA1,014EBA,01547D	018349,0183C5,014EBA,01547D
01834A,016734	01834A,01749E
0183AB,01660E,015176,015999	0183AB,01540D,015176,015999
0183DC,0180B4	0183DC,01991A
0184B2,015E2D	0184B2,0184C6
0185E4,01689D	017C50,01689D
0185E4,016905	017C50,016905
01860A,0191C0	01919E,0191C0
01863F,01535C	01863F,018514
018655,019AD8,0152D9,019060	018655,019AD8,019DA9,019060
0186E9,0197F3	018DEB,0197F3
018768,0176EE	018671,0176EE
0187F9,0187AB	0187F9,0187AF
01884C,015C4D	01884C,015C38
018863,019A45	018863,0188AA
01886B,017562,01633A	01886B,017B46,01633A
0188AB,018925	0188AB,017E1F
0188CA,0196C4	01689F,0196C4
0188D9,0164FA	0188D9,01896C
0188DD,01749C	0188DD,016F62
0188F9,015C4D	0188F9,015C38
01893B,018B80	01893B,017006
